Sunset Blvd.,Billy Wilder,Drama,8.4,8.2,1950,"Hack screenwriter Joe Gillis (William Holden) accidentally falls in with faded screen legend Norma Desmond (Gloria Swanson). She lives in a crumbling old mansion with her butler Max (Erich von Stroheim). She refuses to believe that she's no longer remembered and will never make another movie. She gets Gillis to stay with her and rewrite ""Salome"" which she thinks will be her comeback. Gillis has no other choice and things slowly get out of hand.A VERY cynical view of Hollywood--especially for 1950. It shows what Hollywood does to people like Norma--it makes them stars, tells them that they're great and dump them coldly when they're no longer needed. It also takes swipes at directors, agents, screenwriters, even entire studios! It has a tight quick script, is appropriately filmed in gloomy black and white and is masterfully directed by Billy Wilder. Everybody thought this was a bad idea when it was being made. It was believed to be too cold and vicious for the public. Also Holden was warned it would ruin his career by playing a younger man kept by an older woman. But it turned out great and is now rightfully considered a classic.The acting is almost all good. I never thought Nancy Olson was that good. Her character is too pure and sweet to be believable. Everybody else is right on target though. Holden is just great in his role. You see the pity, anger and helplessness on his face when he realizes Norma is falling in love with him--and he's trapped. von Stroheim was equally good as Max who encourages Norma's delusions. Swanson however is just magnificent! She has a very showy role and could have overplayed it--but she doesn't. She's mad for sure--but you only see it peeking through every once in a while. When she loses it completely at the end it's frightening. If she had played it like that all through the movie it never would have worked. How she lost the Oscar that year to Judy Holliday for ""Born Yesterday"" is beyond me. This is a must see and a true Hollywood classic but VERY cold and cynical. A 10 all the way.""I am big--it's the pictures that got small"". ""All right Mr. deMille--I'm ready for my closeup""."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Comedy,8.4,8.3,1964,"I never really bought into the Kubrick hype. I mean: don't get me wrong; I like all of his films very much - but to me, they all feel somewhat over-constructed and lack a natural flow. And then I finally got to see 'Dr.Strangelove'. Wow. What a terrific, pitch black satire. This film is so wild and mean and funny - and Peter Sellers gives THE performance of his career. Unlike in any of Kubrick's later works, there's a sense of playfulness here that gives the whole movie a crazy kind of energy; I'm guessing that Seller's love for improvisation forced Kubrick to ditch his usual perfectionism to a certain degree (and the film is all the better for it). Sharp, outrageously entertaining comedy/satire by one of the most revered directors of the past century. 10 out of 10.Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: http://www.imdb.com/list/ls054808375/Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/"
Princess Mononoke,Hayao Miyazaki,Animation,8.4,8.4,1997,"This seems to be Miyazake's most personal work, clearly a serious design. It is set in an imaginary time which blends the time of the ancient gods (Shinto style, gods of place and nature) with the settlement of humans and the coming of metalworking and war. The world is not in balance, and a distant conflict between industry and nature has wounded one of the gods of the forest, which is then killed by a sentry boy as it rampages into farmland he guards. The evil controlling it transfers to him, beginning a slow takeover, and he must journey to the origin of the conflict to find a way to cure himself and incidentally, as he will learn, to try to restore balance. But this is not a simplistic tale, he finds there are other characters in play, and there is good and evil in everyone, and no easy balance. The Princess (Hime) of the story is a mysterious human who has been raised by wolves (which are themselves powerful forest gods, a little reminiscent of the Amerindian Coyote myth), who becomes both his ally and his enemy. The story is not easy to understand. It has many Japanese mythic elements but even then, it is a work of Miyazake's unique imagination, and is not intended to be simple or to have a clean resolution.The animation is spectacular, and unusual, with new elements even for Miyazake and marks a new departure for style which you can see continued in his next film, Sen to Chihiro - more nature, more wild, more jamming on elements from Japanese myth and folklore. And, continuing the trend to be more personal, concerned with ethics and character, and less sci-fi. There are at least half a dozen well developed characters threaded through the story, and their animation is wonderful in displaying subtle character.The original Japanese soundtrack has some amazing singing and draws upon some of the best talent available for voices - in Japan, Miyazake is universally known and this was a masterpiece carefully crafted. Japanese television documented a lot of the production. The English translation drew on some good talent but they seem not to have ""gotten it"" quite so intensely as the Japanese crew.If you haven't seen Miyazake, give it a try (but maybe look at Sen to Chihiro first, or even Laputa or Kiki's Delivery Service, for easier and lighter introduction to his work). Some say he is the Japanese Disney, but I don't like that. His work has a depth and sophistication that goes beyond Disney cute. There is no other animation like it. This is truly an adult work: children might like some of the visuals, but I doubt that many kids below teen age will have any idea what it is all about, and even adults will get more out of this each time you see it again."
Oldboy,Chan-wook Park,Action,8.4,8.3,2003,"To start off; This is the one and only film that kept me quiet for a whole 5 mins after seeing it. I literally couldn't close my mouth, and yet there wasn't any sound coming out of it. Oldboy had such an impact on me that words are too little to describe that impact. Therefore this film is definitely in my top 3 films ever made. It belongs there because it has a massive ingredient that a lot of films seem to miss out on; a divine plot. Even though the acting and screenplay are world class, the plot is really the cherry on the cake.When it comes to screenplay Park Chan-Wook is unique (at least for western standards) in his way of filming. The colours are so vivid and it seems like he wanted every shot to be a piece of art. One tip: If you like the shooting in 'Oldboy', have a look at 'Sympathy for Lady Vengeance', the third part in Park's revenge-trilogy. It's even superior to the camera-work in 'Oldboy'. Don't, however, expect a story like Oldboy's, because you would be very disappointed.When it comes to acting and the music, this film is also one of the better films ever made. The music sticks in your head and every time I put in my Oldboy-DVD and the theme-song comes up, I'm just flooded with good memories (even though the plot doesn't have a single reason to be happy about). The characters are also presented very well by the outstanding cast. Especially Choi Min-Sik and Yu Ji-Tae set a very convincing performance. I really appreciate this film being respected as it should be, by having a place in the top 250. If, however, it was up to me it would be even higher in the ranking. I don't see why films like 'The Usual Suspects' or 'Memento', which are fantastic pieces of film-making and which without a doubt deserve a place in the top 250, are higher in the top 250 than 'Oldboy'. They serve the same cause; a fantastic plot. But those plots can't stand in the shadow or even come close to the plot of 'Oldboy'. The one and only reason is that those two films are better known and from a western production company. If we were all living in Asia, no doubt 'Oldboy' would be in the top 20 of all time. My advice to people who haven't watched this film yet: Go see it! This is definitely a must- see. If you have a weak stomach, pull yourself together and still watch it. Don't be as shallow as a lot of people here tend to be. Look beyond the violence and see the things I mentioned before: world class acting, cinematography, music and last but certainly not least the plot. Once you've opened yourself up you'll find a whole new world of cinema. Enjoy!"
Witness for the Prosecution,Billy Wilder,Crime,8.4,8.2,1957,"At the end of the day the films you give top marks are those films that become constant companions. You can see them again at the drop of a hat, you show them to people who have never see them and it's always a triumph. ""Witness For The Prosecution"" is one of those wonders. Suspend your disbelief for a couple of hours and enjoy this banquet of a romp. Charles Laughton showed here what he was made of better, more clearly and more loudly than in any other film and all of his films, at least the moments with him in it, are unforgettable - Captain Blight or Henry VIII, Quasimodo or that malefic Senator from South Carolina. Here the severity of his lawyer by vocation takes your senses away with his masterful judicial way to see logic and it's such an incredible fun to watch him do it. Tyrone Power is a toy in his hands but not Marlene Dietrich who stands her ground, not merely as a character but as a presence on the screen. Billy Wilder visits early Hitchcock territory with wit and fun. Elsa Lanchester's nurse is the cherry on top of this delightful film."
The Dark Knight Rises,Christopher Nolan,Action,8.4,8.5,2012,"After eight years in seclusion, Batman resurfaces to face Bane, a mastermind bent on destroying Gotham and has ties to Bruce Wayne's past. Christopher Nolan's conclusion to his Dark Knight trilogy should be treated as a wrap up rather than a third installment. Despite many new characters being introduced, even their conflicts and motives are derived from events that occurred in the previous two films. Such an approach could be seen as a weakness, since the conflict could just end up being sort of a rematch rather than moving the story forward; however, Nolan's approach works terrificly. Over an hour is shot in stunning IMAX, but the film is more touching than it is intense and that's its best quality. Hardy steps in as the genius mercenary Bane, who is slightly bigger, slightly stronger and slightly smarter than Batman, thus making him a challenge best suited for the grand finale. The Joker works best as Batman's arch-nemesis since they are polar opposites, with The Joker standing for everything Batman stands against. Two-Face works best as Batman's most tragic enemy because Harvey Dent is very much like Bruce Wayne the only difference is: Dent copes with his tragedy through revenge rather than seeking justice as Wayne did. Bane works best as Batman's most challenging villain because of his physical and mental superiority—forget the Bane you saw in ""BATMAN & ROBIN"". Nolan carefully chose all his villains in the series wisely and executed them perfectly. Hardy had big shoes to fill following Ledger's posthumous Oscar winning performance; while Bane is no Joker, Hardy does a satisfying job and should not be compared to Ledger's performance as they are completely different roles. It is Michael Caine, however, that delivers the most memorable and touching performance of the entire film. A wonderful conclusion to a wonderful trilogy.**** (out of four)"
Once Upon a Time in America,Sergio Leone,Crime,8.4,8.3,1984,"Many people compare ""Once Upon a Time in America"" with ""The Godfather"". In my opinion these two movies can't be compared. Both are masterpieces in their own way, but each of them has a different style. You don't compare a Picasso to Michelangelo's Sixteen Chapel either, do you?What is it that makes this movie a masterpiece? Well, first of all there is the director. Sergio Leone is a real master when it comes to creating a special atmosphere, full of mystery, surprises and drama... He's one of the few directors who understands the art of cutting a movie in such a way that you stay focused until the end. The way the movie was cut is also the reason why a lot of Americans don't think this movie is very special. There are three versions, but only the European version is how the director imagined it to be. He didn't want his movie to be shown in chronological order (1910's - 1930's - 1960's), but wanted to mix these three periods of time. The studio cut the movie in chronological order, loosing a lot of its originality and therefor getting a lot of bad critics. If you want to see this film the way Sergio Leone saw it, you have to make sure you get the director's cut. The second reason why this movie is so great is the music. Ennio Morricone, who is seen as the greatest writer of film music ever, did an excellent job. Together with the images, the music speaks for itself in this movie. From time to time there isn't said a word, but the music and the images on their own tell the story. He understood perfectly what Sergio Leone wanted and composed most of the music even before the movie was shot.Last but not least there is also the acting and the script. The actors all did an excellent job. But what else can you expect from actors like Robert De Niro, Joe Pesci... They helped making this movie as great as it is by putting there best effort in it. The script helped them with it. It took twelve years to complete, but it hasn't left any detail untouched. The writers really thought of everything when creating it.I can really recommend this movie to everyone, but especially to people who like the gangster genre. When you want to see the movie, you better be sure that you will have the time for it. This isn't a movie that is finished after 90 minutes. You'll have to be able to stay focused during 3 hours and 47 minutes, which will certainly not be easy during the first 20 to 30 minutes. Some scenes at the beginning only make sense when you have seen the end of the movie. But when you are able to stay focused, you'll find this one of the best movies you've ever seen. I certainly did and I rewarded it with a well deserved 10/10."
Aliens,James Cameron,Action,8.4,8.3,1986,"Aliens (1986) is the best Epic Sci-Fi Classic Action Movie of all time and one of my personal favorite best action sci-fi flicks that I love to death. Just like I love The Terminator and T2, I love this movie to death. James Cameron's classic masterpiece. The now classic science fiction film was only the third feature directed by James Cameron (following Piranha Part Two, The Terminator). It is the sequel to the 1979 film Alien and Alien is a masterpiece I love that film, but I love this movie more sorry this is my personal opinion this is my movie. I am not saying it is better than the original movie but it is right up there with Alien a real classic. Ellen Ripley (Sigourney Weaver), the sole survivor from the original ""Alien"", returns to Earth after drifting trough space in hyper sleep for 57 years. Although her story about the Alien encounter is met with skepticism, she agrees to accompany a team of high-tech marines back to LV-426 and this time it's war! It has great cast I love the marines fighting aliens in this movie. The movie stars: Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser, Lance Henriksen, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston , Ricco Ross, Colette Hiller, Daniel Kash ,Cynthia Dale Scott and Tip Tipping and they are all believable enough.I love the characters beside Ellen Ripley, Newt, Corporal Hicks, Bishop, Private Hudson, Private Vasquez, Sergeant Apone, Private Drake, Private Frost, Corporal Ferro, Private Spunkmeyer, Corporal Dietrich, Private Crowe I love those platoon of US Colonial Marines I know I haven't mentioned Burke because he was the bad guy and I don't like him. But most of the characters in this movie I love. I know it is a sci-fi action film but it also does a have a horror mixed together people just don't see that. There's plenty of horror in it. The nightmare sequence in the beginning, the creepy atmosphere of the LV-426 colony, and the heart pounding face hugger on the loose scene in the medical bay. You see mother of those aliens who cocooned all the humans and killed them you see Ripley finding the nest and fight the Alien queen on the end. Ripley faces her fear and gets over her PTSD by going in by herself to rescue the Girl/Fight the Aliens/and Destroy the Entire Nest...Battles One on One with an Alien Queen and Whips its' Ass...and, by the end, now both her and Newt can dream without the worry of any more Nightmares (which plagued Ripley at the beginning of the film).This is the finest action movie of all time. And, yet, believe it or not, it's not the action in the film itself that makes this be the case. This is especially odd in a movie with a $100 million budget (in 1986!), with multiple huge explosions, with thousands of bullets fired, and scores from James Horner of stuntmen used.10/10 I have the Blu-ray disc which it also have a special edition version on it I used to had this film on DVD but I throw it away because I bought the Blu-ray which I am very happy about it. I love this film to death it is my personal favorite sci-fi action film even Lance Henriksen from Hard Target and The Terminator is in here and he is the good guy."
Coco,Lee Unkrich,Animation,8.4,8.5,2017,"Im Mexican and all i can say is Thanks you Pizax,I just saw this movie and i just remembered all my childhood with my grandparents, Mexico was represented beautifully,the music, the colors. This movie touched me in my soul and i cried a lot, i created an account just to say how good pixar made everything, again gracias pixar por tan hermosa pelicula."
American Beauty,Sam Mendes,Drama,8.3,8.3,1999,"Of the 250+ films I've seen and rated on IMDb, only one other (Schindler's List) is as good as American Beauty. A film like this not only entertains while you're in the theater but also drops subtle questions in your head about the nature of human behavior and the gulf between fantasy and reality. After watching this movie, viewers will think long and hard about their own lives as well as the lives of people around them. The movie spells out the social disillusionment phenomenon everyone experiences but can't really grasp.American Beauty reminds us that, like Lester, we really have no idea what we really want. We're not rational creatures as economists assume we are. Our instinct might lead us to perform one action, yet our brains might tell us to perform the complete opposite. We may lust after material belongings, yet how do we know we will still treasure those material belongings once we obtain them? Lester may lust after Angela, yet once he feels her in his hands and finds out the truth about her sexuality, an entirely different feeling comes over him.Ricky Fits, the drug-dealing boy next door, is able to look beyond conventional notions of attractiveness and find beauty in non-promiscuous, solemn girls as well as in plastic bags floating in the wind. When many criticize the movie, they say, ""Where's the beauty in a plastic bag?"" And that's the point. We live in a world of aesthetic subjectivism. What one person finds attractive, another may find repulsive, yet the urge is there for people to assume aesthetic absolutism. ""It's just a plastic bag! How can there be beauty in it?"" Well, a human being is just an aggregation of tissues, bones, and blood. How is that attractive? It depends on how you look at it. Reality is shaped by perspective.Some people criticize the Ricky Fits character because he records his life experiences on tape and doesn't actually experience them. But time moves inexorably in one direction. Time cannot be stopped. In a physical sense the past and the future don't exist. We are only conscious in the present. Everything we do, everything we achieve, every bit of happiness we experience -- they are all eventually buried in the past by time. Recording subjective beauty is a means by which one can attempt to salvage beauty from the past into the present because time eventually destroys all beauty. If you don't believe me, walk into a pre-school and then walk into a nursing home. Remember that all the old men and women in the nursing home were once little kids.Another profound element of American Beauty is in the tag line: look closer. An individual's behavior is not independent of his environment. Humans are conformists by nature, and humans will modify their behavior to assimilate into existing social categories. If any individual dares to stray from the category to which he has been assigned, he is shouted down and ostracized. No one can resist the urge to conform, so why bother? Everyone is nice in public, yet on the streets they blare their horns, scream, and swear. Some boys I know pretend to hate American Beauty because on the surface it seems like a ""chick flick."" They force themselves to watch gory horror movies and show off to others how they can stomach intense violence and excessive sex scenes. In American Beauty, Angela acts like a total slut, as many girls seem to be nowadays. In the end, however, she is not what she makes herself out to be. Colonel Fits tries to act like such a man, yet in the end it's all just a giant facade. Civilization is but one giant movie, and members of society must start acting their parts if they want to belong to this civilization. Otherwise, they're outsiders. Try walking into a job interview without a tie. You'll be thrown out. That is the power of convention.What if I asked you this question: What do you want in life? Most people would say, ""happiness."" But is happiness worth deluding yourself for? Carolyn Burnham shields herself from sadness by adopting a positive-thinking philosophy, a philosophy of self-affirming mantras and harsh self-discipline. Positive thinking may help you attain your goals, but positive thinking also blinds you from reality. Is it wise or moral to change the channel when you hear about mass starvation in Africa so you can enjoy moments of fleeting happiness from a cheap romance movie? Self-help is just a euphemism for self-deception. All humans need some complex fraud to distract them from the harsh and nihilistic realities of life, whether it's religion, money, or even love.In spite of American Beauty's greatness, there are problems. Characters are stereotypical, but viewers will hardly notice unless they're ultra-critical. Anyway, exaggeration is essential in satire so that certain points are made obvious to viewers. Furthermore, Alan Ball's original screenplay is slightly edited. The ending is more optimistic.Problems aside, Sam Mende's debut movie is one of the greatest I've seen. Not only is it entertaining but it is also filled with interesting ideas. It's an important film for society because there's so much society needs to learn. One boy I knew refused to watch American Beauty because, as he said, ""I'm not gonna watch a movie with a name like that!""Look closer.10/10"
Your Name.,Makoto Shinkai,Animation,8.4,8.5,2016,"From an anime nonetheless.Much has been said about this great animation and most of it is true. It is beautiful, tender, modern (watch the film and you will understand) and makes human love interesting again.With that said, it is too bad that Hollywood has picked this up. Not that I will be watching that remake, but I cringe already at the thought of Hollywood hack and remake specialist giving this an American swirl. All the cliches of bad remaking and safe corporate changes will be applied. Aaaarrrggghh"
Braveheart,Mel Gibson,Biography,8.3,8.3,1995,"Braveheart is a rousing adventure, a passionate romance, and a soul-stirring drama. In short, Mel Gibson's 1995 classic is everything a great Hollywood epic should be. Gibson's second feature film as a director was a revelation. Who knew that Mel Gibson, an established action superstar and leading man, would be capable of helming a grand Medieval epic with the artistry of Braveheart? The story of William Wallace's legendary fight against English tyranny in Medieval Scotland works as a strong action spectacle, but more than that, Braveheart is a heart-rending, almost spiritual experience, a rare film of bellowing passion that earns every towering emotion it conjures.Braveheart tackles the ambitious task of retelling the legend of William Wallace (Mel Gibson), a Scottish warrior who led a revolt against the English occupants of Scotland in the early part of the 14th Century. After his secret love (Catherine McCormack) is killed by English noblemen occupying the Scot's village, Wallace begins a rebellion that eventually leads all the way to King Longshanks (Partrick McGoohan) of England. The story is not a historical retelling of the real William Wallace, but an account of the mythic figure of William Wallace, the larger-than-life Scottish hero. Mel Gibson is at his charismatic best as Wallace. His presence on screen conveys every bit of the folk legend that Wallace has become. It might not be an accurate portrait of a real historical figure, but it is an exquisite visualization of a fabled warrior. The movie is, after all, based on the epic poem written by Blind Harry in the 15th Century. The choice to treat the story romantically rather than realistically is treated as a negative by some, but it is actually a brilliant decision by Gibson and screenwriter Randall Wallace. The romantic approach opens the film up to more emotion, more drama, and more action than a straightforward docu-drama would. Braveheart relishes in the romance of a time and place. The story is massive in scope, and it plays to all those time-tested notes of classic Hollywood adventures. Braveheart is a sentimentalized version of William Wallace, no doubt, but it is also surprisingly authentic. From the muddy village huts and crude stone castles to the close-quarter violence of the battle scenes, Braveheart is a legitimately unvarnished look into the cold, cruel world of Medieval Scotland. This marriage of idealism and realism strikes at the heart of what makes Braveheart so special. It works just as well as a tear-jerker and an action adventure.One of the standouts in Braveheart are the battle scenes, which Mel Gibson stages with tremendous scale and violence. The action is appropriately chaotic, but the way Gibson and editor Steven Rosenblum cut between the indecipherable mayhem and punctuative killshots gives the battles orientation. The violence is effective. Every brutal blow is wince-inducingly severe. This is not typical Hollywood sword and sandals action, this is real, visceral action, and it carries a purpose. Braveheart brilliantly captures the strategy, as well as the barbarism inherent in Medieval warfare.Braveheart is a fantastic action epic, but it outclasses those trappings. There have been many historical epics that have come and gone before and after Braveheart, but precious few of them can compete with this film's craftsmanship. What Gibson has achieved here is almost miraculous. He takes what might be groaning clichés in the hands of a lesser director, and injects them with a poignancy that they frankly do not deserve. We get the obligatory love stories, the death scenes, the speeches, the evil kings and the treacherous allies. It's all been done before, but never with such unbridled passion behind the camera. The characters are archetypes, but they show what influence a great director and great actors can have on a character. The supporting cast is so filled with personality, you just cannot help but root for what could have easily become two-dimensional placeholders. James Cosmo's Campbell, Brenden Gleeson's Hamish, and Sophie Marceau's compassionate Princess Isabelle are excellent, and Angus MacFadyen as Robert the Bruce does Oscar-worthy work as a man who's loyalty balances precariously between the English and the Scottish sides of the conflict. James Horner's music may be the under-appreciated key to Braveheart's success. The mournful bagpipes and spirited Scottish melodies of Horner's score are downright essential for the film's emotional climaxes, of which there are many. When those climaxes hit, they hit hard, and that is thanks in large part to the music. Horner's score carries the same earnest spirit of the rest of the production. The music of Braveheart is precisely as big and bold as the story demands.Braveheart is a masculine story, a simple-minded tale of heroes and villains executed with brute force. Of course it is an exciting action movie, we might have expected that from the star of Mad Max and Lethal Weapon, but the real discovery in Braveheart is its beauty. For all its violence and primitive mayhem, Braveheart never lets go of its absolutely rousing grandeur. It doesn't just allow you to look on it with appreciation, it demands it. Braveheart is cathartic in the way it overpowers you with emotion. There are shots in this film that nearly brought me to tears by their sheer beauty alone. When the story, the characters, the images (filmed by cinematographer John Toll), and the music crescendo, it hits like a wave of overwhelming gratitude. The admirable thing about Braveheart is how Gibson and company stick to their guns. They don't conceal the drama or play it subtly. Gibson allows the tragedies, the treachery, and the triumphs of the William Wallace legend to be extravagant. The story is sprawling, the romances are passionate, and the emotions are let out with uninhibited fury. Braveheart is a man's movie, a brutal action epic that will satisfy any red-blooded man's desire for violence and carnage. The remarkable thing is that Braveheart is also a movie that moved me like few have before. 95/100"
Das Boot,Wolfgang Petersen,Adventure,8.3,8.3,1981,"on modern ""boats"" life isn't easy- but compared to the living hell that the German U-Boats were, modern submariners have nothing to complain about. People in certain professions don't like to watch movies about those professions (Doctors and Nurses shy away from hospital dramas, for example). Submarine sailors are different. We love to watch every submarine movie ever made, from ""Run Silent, Run Deep"" and ""Destination: Tokyo"" to ""The Hunt For Red October"", ""Crimson Tide"" and ""U-571"". Why? Because we can always use a good laugh. For those in the know, submarine movies are usually absolutely hilarious. Except this one. After being in the Navy for four years, serving with around 350 different men, and being acquainted with a further 200-300, all of them submarine sailors, I think that I can state with absolute certainty that this film is the ONLY submarine movie that ALL submariners take seriously. And that is the highest praise a movie like this can possibly get."
3 Idiots,Rajkumar Hirani,Comedy,8.4,8.5,2009,"It's hard for me to review this film, as I have not seen a huge number of Indian films--probably no more than a couple dozen. Most of the ones I've seen were wonderfully entertaining but I am far from an expert on Bollywood. Because of this, I have a hard time knowing how good this film is relative to other films from this country. So, consider this when you read this review. This may be among the very best India has to offer or it just seems that way to me.Like so many Indian films, this is a very, very long film--with a run-time of almost three hours. When a movie is bad or just okay, this can seem like forever, but since ""3 Idiots"" is a very, very good film I loved its length. And, like most films of the genre, it has its share of the usual singing and dancing so foreign to films from other countries. One thing you should know, however, is that defining the type of film it is isn't really easy. Much of it is a comedy, but it also has many poignant moments (keep the Kleenex nearby), some existential moments where they explore the meaning of life and work and it's also a tender film about friendship. And, as my daughter pointed out when she saw the film, she loved that the men in the movie are not afraid to cry--something you rarely see in western films.As for the plot, it's very long and involved and I could recount what occurs. But I don't want to spoil a single wonderful moment, so my advice is just sit back and watch--and if you give it a chance, I can almost guarantee you'll have a great time with this poignant and funny film. Wonderful and well worth your time--with a delightful script, wonderful characters and lots of moments that made me smile...and a few that brought me to tears. See this film."
Like Stars on Earth,Aamir Khan,Drama,8.4,8.5,2007,"As I just became aware of this film a few weeks ago, and ordered a DVD and watched it today (10-9-11) this review is unlikely to be seen by many because the film is 4 years old and there are nearly 250 user reviews already. So rather than rehash the plot, I will first mention that I have been an Educational Therapist for over 45 years, and have worked extensively with dyslexic and ADD and ADHD children in my practice, so this film had intrinsic interest to me going in. But despite seeing many films on learning problems through the years, some very good, I have never seen any movie that can come close to this one both in emotional power and subject accuracy. When I saw that the film is 165 minutes long, I was expecting to watch it in two sittings, but I never once felt the need to take a break, and in the second half of the film, when the director Aamir Khan enters the story, I was riveted continuously, and embarrassingly shed more than a few tears. If you have any interest in education and the problems the outsiders face, this is a must-see. And if you just want to see an intelligent drama with no car chases, explosions, sex scenes, or ultra violence, then you will be glad you saw this wonderful film, which, by the way, while it is about children, is not really for children, unless they are over about 11 or 12, or have suffered the experience of failing due to undiagnosed or treated reading or similar learning difference. Don't let the Disney Studio name fool you, this does not feel like a typical Disney movie, but the film does point out that Walt Disney himself had school learning problems as a child. Another aspect of the film is something I always try to impart to my clients: There is life after school. And it is not necessary to be the best at everything to be successful. Just become the best you are able and try to find something you like doing that makes you happy.The rest will take care of itself. What a great film!Since I first wrote this review, I have rewatched it 5 more times, and now consider it the best film I have ever seen, and that encompasses about 2500 films."
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,Action,8.3,8.3,1983,"Star Wars: Episode VI – Return of the Jedi (1983) is a third sequel in the original Star Wars trilogy it is flawed, yet very entertaining solid third sequel and an epic conclusion to the original Star Wars trilogy. Honestly in my opinion Return of the Jedi is far way better film than The Force Awakens, that movie was a disaster and it sucked, I rather watch this movie any time. It is not my favorite film in the series and I don't love this movie that much like I love the first two movies, but I like it and it think it is very good at some points. The film has a lot of problems, that hurts the movie. I still have enjoyed this movie and I had a lot of fun. Return of the Jedi (1983) is directed this time from Richard Marquand a different director than it was directed from Irvin Kershner and George Lucas. This movie was released on the same year that I was born in 1983. The film is pretty good on it is own way, but on the other thing it suffers from problems and flaws.Things I like in this movie: The first hour is set back on planet Tatooine which is a rescue mission which I like, the story is set where the first movie begins and ends here.Jedi Knight Luke Skywalker, Chewbacca, Lando Calrissian, Princess Leia Organa, C-3PO, and R2-D2 return to Tatooine to rescue Han Solo (who was encased in carbonite at the end of Star Wars: Episode V - The Empire Strikes Back) from the gangster Jabba the Hutt (voice: Larry Ward).A battle on ship, with Luke steadily taking the fight to Jabba's men. During the battle, Leia strangles Jabba to death with the chain around her neck and with R2-D2's help escapes from her bonds. The heroes destroy the ship, kills the bad guys and save Han solo. I love the explosion, the rescue and than they are all save.I love that we find out from ghost of Obi-Wan ""Ben"" Kenobi (Alec Guinness) that Leia (Carrie Fisher) is the sister of Luke ( Mark Hamill). I love that Luke revels to Leia that she is his sister.I like the battle on the Endor, Leia, Han, Chewbacca, C-3PO, R2-D2 and Ewoks are battling Stormtroopers to destroying the shield generator for the second Death Star and they do the destroy it. Lando and his assault team destroys the deaths tar on the end.Luke face Darth Vader and the evil Emperor and fights both of them, while they where both trying to bring him on a dark side of the force to join them.I love when Vader toys with the notion of turning Leia to the dark side, Luke gives in to his rage and furiously gains the upper hand in the battle, slicing off Vader's right robotic hand in a rage in one swift cut, and makes his father succumb to defeat at the mercy of his son's blade.Realizing that Luke cannot be turned, the Emperor uses Force lightning against him to torture and attempt to kill him. Deeply affected by the sight of his son dying before him, Vader repents and turns on the Emperor, throwing him down a reactor shaft to his death.Luke try's to save Anakin but he dies before he could save him.I feel that Luke's transition from a teenager to calm and collected warrior of the Force feels very authentic. His conflict between Darth Vader and the Emperor contains some of the best scenes in the entire saga.Things I don't like: The film has a few problems that are really unnecessary and I really hate it: This movie's biggest flaw is the pacing, the Ewoks and their role in the film. Star Wars been in a forest, aren't Star Wars suppose to set in the Galaxy and not in the forest? Personally I don't mind the Ewoks, but their introduction causes the movie comes to a screeching halt. Another fault of this movie is its attempts at humor. It feels often unnatural and forced a lot of the time. The Phantom Menace has been notorious for having this problem as well, but they most likely originated here.Master Yoda dies in this film! Why? Watching Yoda in the prequels I have really enjoyed him much more than I have watching him in the last two movies. Little guy grove up in to my heart. So I disagree about him dying.I am giving this movie an 8, I watch A New Hope and Retun of the Jedi on TV as a kid I don't remember watching The Empire Strikes Back, but I have saw those tow movies and still I like Return of the Jedi a lot."
Reservoir Dogs,Quentin Tarantino,Crime,8.3,8.2,1992,"Tarantino's brutal debut film. From the original initial dialogue, to the final outcome, the director astonishes everyone and makes clear his style: anthological dialogues (pay attention to the discussion in the distribution of colors that will identify each gangster, hilarious) a breakthrough structure, very good soundtrack (as in all his films), great doses of violence (although not at all gratuitous, but rather ironic) and, above all, a lot of black humor. In addition to superb performances by Harvey Keitel, Tim Roth, Michael Madsen, Steve Buscemi and Chris Penn. In short, a great example of good noir cinema (with all its ingredients: shootings, violence, betrayal, suspense, etc.), but with the innovative and very personal touch of the brilliant director, who would later continue to dazzle with the wonderful ""Pulp Fiction"". Oh, and the scene from the beginning with ""Little Green Bag"" is legendary. 10/10"
